record_id|plan_name|plan_type|sector|period|description|status|source_url|date_scraped
DP-001|Kalomo District Integrated Development Plan (IDP) 2021-2030|IDP|Multi-sector|2021-2030|District-wide Integrated Development Plan prepared under the Urban and Regional Planning Act No. 3 of 2015, covering social, economic, environmental, spatial, infrastructural, institutional and governance development across Kalomo district's 20 wards. Vision: 'A climate resilient district that is economically prosperous, and anchored on sustainable use of local resources.'|Adopted|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-002|Kalomo Town Council 2.0 Investment Profile|Investment Profile|Investment/Economic Development|N/A|Investor-facing profile covering potential viable economic sectors (agriculture and dairy/milk processing, tourism, natural resource management, small-scale enterprises), infrastructure availability, and investment requirements/profitability analysis for the district.|Published|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/Kalomo-town-Council-2.0-Investment-Profile-1-1.pdf|2026-09-11
DP-003|National Decentralisation Policy (2023)|Policy|Governance/Decentralisation|2023|Revised national policy (Office of the President, Cabinet Office, March 2023) themed 'Realising Local Development through Citizen Participation', superseding the 2013 policy. Sets the legal/policy basis for CDF, LGEF and devolved local-governance functions referenced across the other datasets in this project.|In force|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/National-Decentralisation-Policy-2023.pdf|2026-09-11
DP-004|Council Citizen Engagement Strategy (Output-Based Budgeting focus)|Strategy|Governance/Public Participation|2025|Ministry of Local Government and Rural Development / Zambia Devolution Support Programme (ZDSP) template strategy for structuring citizen engagement, communication, budgeting and monitoring of council project implementation.|Draft/template (marked 'Official Use Only' in source)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/Citizen_Engagement_Strategy.pdf|2026-09-11
DP-005|Stakeholders Engagement Plan 2025|Plan|Governance/Public Participation|2025|Council's 2025 stakeholder engagement plan. Source PDF is a scanned image file with no extractable text layer, so content is documented from its listing under the council's Publications > Engagement Plan tab rather than full text.|Published|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/2025-STAKEHOLDER-ENGAGEMENT-PLAN.pdf|2026-09-11
DP-006|Kalomo Town Council Procurement Plan 2025|Plan|Procurement|2025|Annual procurement plan (version 1, last updated 22 July 2025) listing planned works/goods/services contracts, e.g. Truck Yard wall fence completion, Tandabale Market Shelter completion, dump truck purchase, staff house construction. Total procurement budget ZMW 47,993,371.87.|Active|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/08/plan.pdf|2026-09-11
DP-007|The Local Authorities Debt and Arrears Monitoring Mechanism|Mechanism/Policy|Finance|2023|National-level (Republic of Zambia) mechanism, published December 2023, for tracking and managing debt/arrears across local authorities; referenced by Kalomo Town Council as a guiding financial-management document.|In force|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/Debt-Arrears-Monitoring-Mechanism-FINAL-COPY8-min.pdf|2026-09-11
DP-008|ZDSP Proposed Projects list|Project List (ZDSP)|Multi-sector|N/A|Council-submitted list of proposed projects under the Zambia Devolution Support Programme (ZDSP). Source PDF is a scanned, rotated image file with no extractable text layer, so content is documented from its listing on the council's ZDSP Projects page rather than full text.|Proposed|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/ZDSP-PROPOSED-PROJECTS_rotated.pdf|2026-09-11
DP-009|Truck Parking Bay - Environmental and Social Management Plan|ESMP|Infrastructure/Transport|N/A|Project-level environmental and social safeguard plan for the proposed Truck Parking Bay development. Source PDF is a scanned image file with no extractable text layer.|Planned|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/06/ESMP-TRUCK-PARKING-BAY.pdf|2026-09-11
DP-010|Tandabale Market Shelter - Environmental and Social Management Plan|ESMP|Infrastructure/Markets|N/A|Project-level environmental and social safeguard plan for the Tandabale Market Shelter. Cross-referenced in the 2025 Procurement Plan as an active works contract ('Completion of a Market Shelter at Tandabale Market', ref KTC/2025/6). Source PDF is a scanned image file with no extractable text layer.|Ongoing (per 2025 Procurement Plan)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/06/ESMP-TANDABALE-MARKET-SHELTER.pdf|2026-09-11
DP-011|Construction of a Truck Yard|Capital Investment Project (IDP Table 28)|Transport/Infrastructure|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Ongoing - cross-referenced as 'Completion of a Truck Yard wall fence' (KTC/2025/2) in the 2025 Procurement Plan|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-012|Construction of Dams|Capital Investment Project (IDP Table 28)|Water & Sanitation|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-013|Construction of Roads|Capital Investment Project (IDP Table 28)|Roads/Transport|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-014|Construction of Schools|Capital Investment Project (IDP Table 28)|Education|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-015|Construction of Staff Houses|Capital Investment Project (IDP Table 28)|Housing/Administration|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-016|Construction of Dip Tanks|Capital Investment Project (IDP Table 28)|Agriculture/Livestock|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
DP-017|Construction of Health Facilities|Capital Investment Project (IDP Table 28)|Health|2021-2030|Project listed in the IDP's Capital Investment Plan (Table 28, page 152 of the document).|Planned (amount not specified in source IDP)|https://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/KALOMO-IDP-FINAL-JANUARY-2023-LAUNCH-1-1-2.pdf|2026-09-11
